#PY	PYTONE	WG	YALE	GI	BPMF	GR	FR	TY
chu,chu0,chu5	chu	ch'u,ch'u0,ch'u5	chu,chu0,chu5	chu,chu0,chu5	ㄔㄨ˙,ㄔㄨ	.chu	tch'ou,tch'ou0,tch'ou5	chu
chu1	chū	ch'u1	chu1	chu1	ㄔㄨˉ	chu	tch'ou1	chu1
chu2	chú	ch'u2	chu2	chu2	ㄔㄨˊ	chwu	tch'ou2	chu2
chu3	chǔ	ch'u3	chu3	chu3	ㄔㄨˇ	chuu	tch'ou3	chu3
chu4	chù	ch'u4	chu4	chu4	ㄔㄨˋ	chuh	tch'ou4	chu4
chua,chua0,chua5	chua	ch'ua,ch'ua0,ch'ua5	chwa,chwa0,chwa5	chua,chua0,chua5	ㄔㄨㄚ˙,ㄔㄨㄚ	.chua	tch'oua,tch'oua0,tch'oua5	chua
chua1	chuā	ch'ua1	chwa1	chua1	ㄔㄨㄚˉ	chua	tch'oua1	chua1
chua2	chuá	ch'ua2	chwa2	chua2	ㄔㄨㄚˊ	chwa	tch'oua2	chua2
chua3	chuǎ	ch'ua3	chwa3	chua3	ㄔㄨㄚˇ	choa	tch'oua3	chua3
chua4	chuà	ch'ua4	chwa4	chua4	ㄔㄨㄚˋ	chuah	tch'oua4	chua4
chuai,chuai0,chuai5	chuai	ch'uai,ch'uai0,ch'uai5	chwai,chwai0,chwai5	chuai,chuai0,chuai5	ㄔㄨㄞ˙,ㄔㄨㄞ	.chuai	tch'ouai,tch'ouai0,tch'ouai5	chuai
chuai1	chuāi	ch'uai1	chwai1	chuai1	ㄔㄨㄞˉ	chuai	tch'ouai1	chuai1
chuai2	chuái	ch'uai2	chwai2	chuai2	ㄔㄨㄞˊ	chwai	tch'ouai2	chuai2
chuai3	chuǎi	ch'uai3	chwai3	chuai3	ㄔㄨㄞˇ	choai	tch'ouai3	chuai3
chuai4	chuài	ch'uai4	chwai4	chuai4	ㄔㄨㄞˋ	chuay	tch'ouai4	chuai4
chuan,chuan0,chuan5	chuan	ch'uan,ch'uan0,ch'uan5	chwan,chwan0,chwan5	chuan,chuan0,chuan5	ㄔㄨㄢ˙,ㄔㄨㄢ	.chuan	tch'ouan,tch'ouan0,tch'ouan5	chuan
chuan1	chuān	ch'uan1	chwan1	chuan1	ㄔㄨㄢˉ	chuan	tch'ouan1	chuan1
chuan2	chuán	ch'uan2	chwan2	chuan2	ㄔㄨㄢˊ	chwan	tch'ouan2	chuan2
chuan3	chuǎn	ch'uan3	chwan3	chuan3	ㄔㄨㄢˇ	choan	tch'ouan3	chuan3
chuan4	chuàn	ch'uan4	chwan4	chuan4	ㄔㄨㄢˋ	chuann	tch'ouan4	chuan4
chuang,chuang0,chuang5	chuang	ch'uang,ch'uang0,ch'uang5	chwang,chwang0,chwang5	chuang,chuang0,chuang5	ㄔㄨㄤ˙,ㄔㄨㄤ	.chuang	tch'ouang,tch'ouang0,tch'ouang5	chuang
chuang1	chuāng	ch'uang1	chwang1	chuang1	ㄔㄨㄤˉ	chuang	tch'ouang1	chuang1
chuang2	chuáng	ch'uang2	chwang2	chuang2	ㄔㄨㄤˊ	chwang	tch'ouang2	chuang2
chuang3	chuǎng	ch'uang3	chwang3	chuang3	ㄔㄨㄤˇ	choang	tch'ouang3	chuang3
chuang4	chuàng	ch'uang4	chwang4	chuang4	ㄔㄨㄤˋ	chuanq	tch'ouang4	chuang4
chui,chui0,chui5	chui	ch'ui,ch'ui0,ch'ui5	chwei,chwei0,chwei5	chuei,chuei0,chuei5	ㄔㄨㄟ˙,ㄔㄨㄟ	.chuei	tch'ouei,tch'ouei0,tch'ouei5	chuei
chui1	chuī	ch'ui1	chwei1	chuei1	ㄔㄨㄟˉ	chuei	tch'ouei1	chuei1
chui2	chuí	ch'ui2	chwei2	chuei2	ㄔㄨㄟˊ	chwei	tch'ouei2	chuei2
chui3	chuǐ	ch'ui3	chwei3	chuei3	ㄔㄨㄟˇ	choei	tch'ouei3	chuei3
chui4	chuì	ch'ui4	chwei4	chuei4	ㄔㄨㄟˋ	chuey	tch'ouei4	chuei4
chun,chun0,chun5	chun	ch'un,ch'un0,ch'un5	chwun,chwun0,chwun5	chuen,chuen0,chuen5	ㄔㄨㄣ˙,ㄔㄨㄣ	.chuen	ts'iun,ts'iun0,ts'iun5,k'iun,k'iun0,k'iun5	chun
chun1	chūn	ch'un1	chwun1	chuen1	ㄔㄨㄣˉ	chuen	ts'iun1,k'iun1	chun1
chun2	chún	ch'un2	chwun2	chuen2	ㄔㄨㄣˊ	chwen	ts'iun2,k'iun2	chun2
chun3	chǔn	ch'un3	chwun3	chuen3	ㄔㄨㄣˇ	choen	ts'iun3,k'iun3	chun3
chun4	chùn	ch'un4	chwun4	chuen4	ㄔㄨㄣˋ	chuenn	ts'iun4,k'iun4	chun4
chuo,chuo0,chuo5	chuo	ch'o,ch'o0,ch'o5	chwo,chwo0,chwo5	chuo,chuo0,chuo5	ㄔㄨㄛ˙,ㄔㄨㄛ	.chuo	tch'o,tch'o0,tch'o5	chuo
chuo1	chuō	ch'o1	chwo1	chuo1	ㄔㄨㄛˉ	chuo	tch'o1	chuo1
chuo2	chuó	ch'o2	chwo2	chuo2	ㄔㄨㄛˊ	chwo	tch'o2	chuo2
chuo3	chuǒ	ch'o3	chwo3	chuo3	ㄔㄨㄛˇ	chuoo	tch'o3	chuo3
chuo4	chuò	ch'o4	chwo4	chuo4	ㄔㄨㄛˋ	chuoh	tch'o4	chuo4
da,da0,da5	da	ta,ta0,ta5	da,da0,da5	da,da0,da5	ㄉㄚ˙,ㄉㄚ	.da	ta,ta0,ta5	da
da1	dā	ta1	da1	da1	ㄉㄚˉ	da	ta1	da1
da2	dá	ta2	da2	da2	ㄉㄚˊ	dar	ta2	da2
da3	dǎ	ta3	da3	da3	ㄉㄚˇ	daa	ta3	da3
da4	dà	ta4	da4	da4	ㄉㄚˋ	dah	ta4	da4
dai,dai0,dai5	dai	tai,tai0,tai5	dai,dai0,dai5	dai,dai0,dai5	ㄉㄞ˙,ㄉㄞ	.dai	tai,tai0,tai5	dai
dai1	dāi	tai1	dai1	dai1	ㄉㄞˉ	dai	tai1	dai1
dai2	dái	tai2	dai2	dai2	ㄉㄞˊ	dair	tai2	dai2
dai3	dǎi	tai3	dai3	dai3	ㄉㄞˇ	dae	tai3	dai3
dai4	dài	tai4	dai4	dai4	ㄉㄞˋ	day	tai4	dai4
dan,dan0,dan5	dan	tan,tan0,tan5	dan,dan0,dan5	dan,dan0,dan5	ㄉㄢ˙,ㄉㄢ	.dan	tan,tan0,tan5	dan
dan1	dān	tan1	dan1	dan1	ㄉㄢˉ	dan	tan1	dan1
dan2	dán	tan2	dan2	dan2	ㄉㄢˊ	darn	tan2	dan2
dan3	dǎn	tan3	dan3	dan3	ㄉㄢˇ	daan	tan3	dan3
dan4	dàn	tan4	dan4	dan4	ㄉㄢˋ	dann	tan4	dan4
dang,dang0,dang5	dang	tang,tang0,tang5	dang,dang0,dang5	dang,dang0,dang5	ㄉㄤ˙,ㄉㄤ	.dang	tang,tang0,tang5	dang
dang1	dāng	tang1	dang1	dang1	ㄉㄤˉ	dang	tang1	dang1
dang2	dáng	tang2	dang2	dang2	ㄉㄤˊ	darng	tang2	dang2
dang3	dǎng	tang3	dang3	dang3	ㄉㄤˇ	daang	tang3	dang3
dang4	dàng	tang4	dang4	dang4	ㄉㄤˋ	danq	tang4	dang4
dao,dao0,dao5	dao	tao,tao0,tao5	dau,dau0,dau5	dau,dau0,dau5	ㄉㄠ˙,ㄉㄠ	.dau	tao,tao0,tao5	dao
dao1	dāo	tao1	dau1	dau1	ㄉㄠˉ	dau	tao1	dao1
dao2	dáo	tao2	dau2	dau2	ㄉㄠˊ	daur	tao2	dao2
dao3	dǎo	tao3	dau3	dau3	ㄉㄠˇ	dao	tao3	dao3
dao4	dào	tao4	dau4	dau4	ㄉㄠˋ	daw	tao4	dao4
de,de0,de5	de	te,te0,te5,tê,tê0,tê5	de,de0,de5	de,de0,de5	ㄉㄜ˙,ㄉㄜ	.de	tö,tö0,tö5	de
de1	dē	te1,tê1	de1	de1	ㄉㄜˉ	de	tö1	de1
de2	dé	te2,tê2	de2	de2	ㄉㄜˊ	der	tö2	de2
de3	dě	te3,tê3	de3	de3	ㄉㄜˇ	dee	tö3	de3
de4	dè	te4,tê4	de4	de4	ㄉㄜˋ	deh	tö4	de4
dei,dei0,dei5	dei	tei,tei0,tei5	dei,dei0,dei5	dei,dei0,dei5	ㄉㄟ˙,ㄉㄟ	.dei	tei,tei0,tei5	dei
dei1	dēi	tei1	dei1	dei1	ㄉㄟˉ	dei	tei1	dei1
dei2	déi	tei2	dei2	dei2	ㄉㄟˊ	deir	tei2	dei2
dei3	děi	tei3	dei3	dei3	ㄉㄟˇ	deei	tei3	dei3
dei4	dèi	tei4	dei4	dei4	ㄉㄟˋ	dey	tei4	dei4
deng,deng0,deng5	deng	teng,teng0,teng5,têng,têng0,têng5	deng,deng0,deng5	deng,deng0,deng5	ㄉㄥ˙,ㄉㄥ	.deng	teng,teng0,teng5	deng
deng1	dēng	teng1,têng1	deng1	deng1	ㄉㄥˉ	deng	teng1	deng1
deng2	déng	teng2,têng2	deng2	deng2	ㄉㄥˊ	derng	teng2	deng2
deng3	děng	teng3,têng3	deng3	deng3	ㄉㄥˇ	deeng	teng3	deng3
deng4	dèng	teng4,têng4	deng4	deng4	ㄉㄥˋ	denq	teng4	deng4
di,di0,di5	di	ti,ti0,ti5	di,di0,di5	di,di0,di5	ㄉ一˙,ㄉ一	.di	ti,ti0,ti5	di
di1	dī	ti1	di1	di1	ㄉ一ˉ	di	ti1	di1
di2	dí	ti2	di2	di2	ㄉ一ˊ	dyi	ti2	di2
di3	dǐ	ti3	di3	di3	ㄉ一ˇ	dii	ti3	di3
di4	dì	ti4	di4	di4	ㄉ一ˋ	dih	ti4	di4
dian,dian0,dian5	dian	tien,tien0,tien5	dyan,dyan0,dyan5	dian,dian0,dian5	ㄉ一ㄢ˙,ㄉ一ㄢ	.dian	tien,tien0,tien5	dian
dian1	diān	tien1	dyan1	dian1	ㄉ一ㄢˉ	dian	tien1	dian1
dian2	dián	tien2	dyan2	dian2	ㄉ一ㄢˊ	dyan	tien2	dian2
dian3	diǎn	tien3	dyan3	dian3	ㄉ一ㄢˇ	dean	tien3	dian3
dian4	diàn	tien4	dyan4	dian4	ㄉ一ㄢˋ	diann	tien4	dian4
diao,diao0,diao5	diao	tiao,tiao0,tiao5	dyau,dyau0,dyau5	diau,diau0,diau5	ㄉ一ㄠ˙,ㄉ一ㄠ	.diau	tiao,tiao0,tiao5	diao
diao1	diāo	tiao1	dyau1	diau1	ㄉ一ㄠˉ	diau	tiao1	diao1
diao2	diáo	tiao2	dyau2	diau2	ㄉ一ㄠˊ	dyau	tiao2	diao2
diao3	diǎo	tiao3	dyau3	diau3	ㄉ一ㄠˇ	deau	tiao3	diao3
diao4	diào	tiao4	dyau4	diau4	ㄉ一ㄠˋ	diaw	tiao4	diao4
die,die0,die5	die	tieh,tieh0,tieh5	dye,dye0,dye5	die,die0,die5	ㄉ一ㄝ˙,ㄉ一ㄝ	.die	tie,tie0,tie5	die
die1	diē	tieh1	dye1	die1	ㄉ一ㄝˉ	die	tie1	die1
die2	dié	tieh2	dye2	die2	ㄉ一ㄝˊ	dye	tie2	die2
die3	diě	tieh3	dye3	die3	ㄉ一ㄝˇ	diee	tie3	die3
die4	diè	tieh4	dye4	die4	ㄉ一ㄝˋ	dieh	tie4	die4
ding,ding0,ding5	ding	ting,ting0,ting5	ding,ding0,ding5	ding,ding0,ding5	ㄉ一ㄥ˙,ㄉ一ㄥ	.ding	ting,ting0,ting5	ding
ding1	dīng	ting1	ding1	ding1	ㄉ一ㄥˉ	ding	ting1	ding1
ding2	díng	ting2	ding2	ding2	ㄉ一ㄥˊ	dyng	ting2	ding2
ding3	dǐng	ting3	ding3	ding3	ㄉ一ㄥˇ	diing	ting3	ding3
ding4	dìng	ting4	ding4	ding4	ㄉ一ㄥˋ	dinq	ting4	ding4
diu,diu0,diu5	diu	tiu,tiu0,tiu5	dyou,dyou0,dyou5	diou,diou0,diou5	ㄉ一ㄡ˙,ㄉ一ㄡ	.diou	tieou,tieou0,tieou5	diou
diu1	diū	tiu1	dyou1	diou1	ㄉ一ㄡˉ	diou	tieou1	diou1
diu2	diú	tiu2	dyou2	diou2	ㄉ一ㄡˊ	dyou	tieou2	diou2
diu3	diǔ	tiu3	dyou3	diou3	ㄉ一ㄡˇ	deou	tieou3	diou3
diu4	diù	tiu4	dyou4	diou4	ㄉ一ㄡˋ	diow	tieou4	diou4
dong,dong0,dong5	dong	tung,tung0,tung5	dung,dung0,dung5	dung,dung0,dung5	ㄉㄨㄥ˙,ㄉㄨㄥ	.dong	tong,tong0,tong5	dong
dong1	dōng	tung1	dung1	dung1	ㄉㄨㄥˉ	dong	tong1	dong1
dong2	dóng	tung2	dung2	dung2	ㄉㄨㄥˊ	dorng	tong2	dong2
dong3	dǒng	tung3	dung3	dung3	ㄉㄨㄥˇ	doong	tong3	dong3
dong4	dòng	tung4	dung4	dung4	ㄉㄨㄥˋ	donq	tong4	dong4
dou,dou0,dou5	dou	tou,tou0,tou5	dou,dou0,dou5	dou,dou0,dou5	ㄉㄡ˙,ㄉㄡ	.dou	teou,teou0,teou5	dou
dou1	dōu	tou1	dou1	dou1	ㄉㄡˉ	dou	teou1	dou1
dou2	dóu	tou2	dou2	dou2	ㄉㄡˊ	dour	teou2	dou2
dou3	dǒu	tou3	dou3	dou3	ㄉㄡˇ	doou	teou3	dou3
dou4	dòu	tou4	dou4	dou4	ㄉㄡˋ	dow	teou4	dou4
du,du0,du5	du	tu,tu0,tu5	du,du0,du5	du,du0,du5	ㄉㄨ˙,ㄉㄨ	.du	tou,tou0,tou5	du
du1	dū	tu1	du1	du1	ㄉㄨˉ	du	tou1	du1
du2	dú	tu2	du2	du2	ㄉㄨˊ	dwu	tou2	du2
du3	dǔ	tu3	du3	du3	ㄉㄨˇ	duu	tou3	du3
du4	dù	tu4	du4	du4	ㄉㄨˋ	duh	tou4	du4
duan,duan0,duan5	duan	tuan,tuan0,tuan5	dwan,dwan0,dwan5	duan,duan0,duan5	ㄉㄨㄢ˙,ㄉㄨㄢ	.duan	touan,touan0,touan5	duan
duan1	duān	tuan1	dwan1	duan1	ㄉㄨㄢˉ	duan	touan1	duan1
duan2	duán	tuan2	dwan2	duan2	ㄉㄨㄢˊ	dwan	touan2	duan2
duan3	duǎn	tuan3	dwan3	duan3	ㄉㄨㄢˇ	doan	touan3	duan3
duan4	duàn	tuan4	dwan4	duan4	ㄉㄨㄢˋ	duann	touan4	duan4
dui,dui0,dui5	dui	tui,tui0,tui5	dwei,dwei0,dwei5	duei,duei0,duei5	ㄉㄨㄟ˙,ㄉㄨㄟ	.duei	touei,touei0,touei5	duei
dui1	duī	tui1	dwei1	duei1	ㄉㄨㄟˉ	duei	touei1	duei1
dui2	duí	tui2	dwei2	duei2	ㄉㄨㄟˊ	dwei	touei2	duei2
dui3	duǐ	tui3	dwei3	duei3	ㄉㄨㄟˇ	doei	touei3	duei3
dui4	duì	tui4	dwei4	duei4	ㄉㄨㄟˋ	duey	touei4	duei4
dun,dun0,dun5	dun	tun,tun0,tun5	dwun,dwun0,dwun5	duen,duen0,duen5	ㄉㄨㄣ˙,ㄉㄨㄣ	.duen	touen,touen0,touen5	dun
dun1	dūn	tun1	dwun1	duen1	ㄉㄨㄣˉ	duen	touen1	dun1
dun2	dún	tun2	dwun2	duen2	ㄉㄨㄣˊ	dwen	touen2	dun2
dun3	dǔn	tun3	dwun3	duen3	ㄉㄨㄣˇ	doen	touen3	dun3
dun4	dùn	tun4	dwun4	duen4	ㄉㄨㄣˋ	duenn	touen4	dun4
duo,duo0,duo5	duo	to,to0,to5	dwo,dwo0,dwo5	duo,duo0,duo5	ㄉㄨㄛ˙,ㄉㄨㄛ	.duo	to,to0,to5	duo
duo1	duō	to1	dwo1	duo1	ㄉㄨㄛˉ	duo	to1	duo1
duo2	duó	to2	dwo2	duo2	ㄉㄨㄛˊ	dwo	to2	duo2
duo3	duǒ	to3	dwo3	duo3	ㄉㄨㄛˇ	duoo	to3	duo3
duo4	duò	to4	dwo4	duo4	ㄉㄨㄛˋ	duoh	to4	duo4
e,e0,e5	e	e,e0,e5,ê,ê0,ê5	e,e0,e5	e,e0,e5	ㄜ˙,ㄜ	.e	ngo,ngo0,ngo5	e
e1	ē	e1,ê1	e1	e1	ㄜˉ	e	ngo1	e1
e2	é	e2,ê2	e2	e2	ㄜˊ	er	ngo2	e2
e3	ě	e3,ê3	e3	e3	ㄜˇ	ee	ngo3	e3
e4	è	e4,ê4	e4	e4	ㄜˋ	eh	ngo4	e4
ei,ei0,ei5	ei	ei,ei0,ei5,êi,êi0,êi5	ei,ei0,ei5	ei,ei0,ei5	ㄟ˙,ㄟ	.ei	ei,ei0,ei5	ei
ei1	ēi	ei1,êi1	ei1	ei1	ㄟˉ	ei	ei1	ei1
ei2	éi	ei2,êi2	ei2	ei2	ㄟˊ	eir	ei2	ei2
ei3	ěi	ei3,êi3	ei3	ei3	ㄟˇ	eei	ei3	ei3
ei4	èi	ei4,êi4	ei4	ei4	ㄟˋ	ey	ei4	ei4
en,en0,en5	en	en,en0,en5,ên,ên0,ên5	en,en0,en5	en,en0,en5	ㄣ˙,ㄣ	.en	ngen,ngen0,ngen5	en
en1	ēn	en1,ên1	en1	en1	ㄣˉ	en	ngen1	en1
en2	én	en2,ên2	en2	en2	ㄣˊ	ern	ngen2	en2
en3	ěn	en3,ên3	en3	en3	ㄣˇ	een	ngen3	en3
en4	èn	en4,ên4	en4	en4	ㄣˋ	enn	ngen4	en4
eng,eng0,eng5	eng	eng,eng0,eng5,êng,êng0,êng5	eng,eng0,eng5	eng,eng0,eng5	ㄥ˙,ㄥ	.eng	ngong,ngong0,ngong5	eng
eng1	ēng	eng1,êng1	eng1	eng1	ㄥˉ	eng	ngong1	eng1
eng2	éng	eng2,êng2	eng2	eng2	ㄥˊ	erng	ngong2	eng2
eng3	ěng	eng3,êng3	eng3	eng3	ㄥˇ	eeng	ngong3	eng3
eng4	èng	eng4,êng4	eng4	eng4	ㄥˋ	enq	ngong4	eng4
er,er0,er5	er	erh,erh0,erh5,êrh,êrh0,êrh5	er,er0,er5	erh,erh0,erh5	ㄦ˙,ㄦ	.el	eul,eul0,eul5	er
er1	ēr	erh1,êrh1	er1	erh1	ㄦˉ	el	eul1	er1
er2	ér	erh2,êrh2	er2	erh2	ㄦˊ	erl	eul2	er2
er3	ěr	erh3,êrh3	er3	erh3	ㄦˇ	eel	eul3	er3
er4	èr	erh4,êrh4	er4	erh4	ㄦˋ	ell	eul4	er4
fa,fa0,fa5	fa	fa,fa0,fa5	fa,fa0,fa5	fa,fa0,fa5	ㄈㄚ˙,ㄈㄚ	.fa	fa,fa0,fa5	fa
fa1	fā	fa1	fa1	fa1	ㄈㄚˉ	fa	fa1	fa1
fa2	fá	fa2	fa2	fa2	ㄈㄚˊ	far	fa2	fa2
fa3	fǎ	fa3	fa3	fa3	ㄈㄚˇ	faa	fa3	fa3
fa4	fà	fa4	fa4	fa4	ㄈㄚˋ	fah	fa4	fa4
fan,fan0,fan5	fan	fan,fan0,fan5	fan,fan0,fan5	fan,fan0,fan5	ㄈㄢ˙,ㄈㄢ	.fan	fan,fan0,fan5	fan
fan1	fān	fan1	fan1	fan1	ㄈㄢˉ	fan	fan1	fan1
fan2	fán	fan2	fan2	fan2	ㄈㄢˊ	farn	fan2	fan2
fan3	fǎn	fan3	fan3	fan3	ㄈㄢˇ	faan	fan3	fan3
fan4	fàn	fan4	fan4	fan4	ㄈㄢˋ	fann	fan4	fan4
fang,fang0,fang5	fang	fang,fang0,fang5	fang,fang0,fang5	fang,fang0,fang5	ㄈㄤ˙,ㄈㄤ	.fang	fang,fang0,fang5	fang
fang1	fāng	fang1	fang1	fang1	ㄈㄤˉ	fang	fang1	fang1
fang2	fáng	fang2	fang2	fang2	ㄈㄤˊ	farng	fang2	fang2
fang3	fǎng	fang3	fang3	fang3	ㄈㄤˇ	faang	fang3	fang3
fang4	fàng	fang4	fang4	fang4	ㄈㄤˋ	fanq	fang4	fang4
fei,fei0,fei5	fei	fei,fei0,fei5	fei,fei0,fei5	fei,fei0,fei5	ㄈㄟ˙,ㄈㄟ	.fei	fei,fei0,fei5	fei
fei1	fēi	fei1	fei1	fei1	ㄈㄟˉ	fei	fei1	fei1
fei2	féi	fei2	fei2	fei2	ㄈㄟˊ	feir	fei2	fei2
fei3	fěi	fei3	fei3	fei3	ㄈㄟˇ	feei	fei3	fei3
fei4	fèi	fei4	fei4	fei4	ㄈㄟˋ	fey	fei4	fei4
fen,fen0,fen5	fen	fen,fen0,fen5,fên,fên0,fên5	fen,fen0,fen5	fen,fen0,fen5	ㄈㄣ˙,ㄈㄣ	.fen	fen,fen0,fen5	fen
fen1	fēn	fen1,fên1	fen1	fen1	ㄈㄣˉ	fen	fen1	fen1
fen2	fén	fen2,fên2	fen2	fen2	ㄈㄣˊ	fern	fen2	fen2
fen3	fěn	fen3,fên3	fen3	fen3	ㄈㄣˇ	feen	fen3	fen3
fen4	fèn	fen4,fên4	fen4	fen4	ㄈㄣˋ	fenn	fen4	fen4
feng,feng0,feng5	feng	feng,feng0,feng5,fêng,fêng0,fêng5	feng,feng0,feng5	feng,feng0,feng5	ㄈㄥ˙,ㄈㄥ	.feng	fong,fong0,fong5	fong
feng1	fēng	feng1,fêng1	feng1	feng1	ㄈㄥˉ	feng	fong1	fong1
feng2	féng	feng2,fêng2	feng2	feng2	ㄈㄥˊ	ferng	fong2	fong2
feng3	fěng	feng3,fêng3	feng3	feng3	ㄈㄥˇ	feeng	fong3	fong3
feng4	fèng	feng4,fêng4	feng4	feng4	ㄈㄥˋ	fenq	fong4	fong4
fo,fo0,fo5	fo	fo,fo0,fo5	fwo,fwo0,fwo5	fo,fo0,fo5	ㄈㄛ˙,ㄈㄛ	.fo	fo,fo0,fo5	fo
fo1	fō	fo1	fwo1	fo1	ㄈㄛˉ	fo	fo1	fo1
fo2	fó	fo2	fwo2	fo2	ㄈㄛˊ	for	fo2	fo2
fo3	fǒ	fo3	fwo3	fo3	ㄈㄛˇ	foo	fo3	fo3
fo4	fò	fo4	fwo4	fo4	ㄈㄛˋ	foh	fo4	fo4
fou,fou0,fou5	fou	fou,fou0,fou5	fou,fou0,fou5	fou,fou0,fou5	ㄈㄡ˙,ㄈㄡ	.fou	feou,feou0,feou5	fou
fou1	fōu	fou1	fou1	fou1	ㄈㄡˉ	fou	feou1	fou1
fou2	fóu	fou2	fou2	fou2	ㄈㄡˊ	four	feou2	fou2
fou3	fǒu	fou3	fou3	fou3	ㄈㄡˇ	foou	feou3	fou3
fou4	fòu	fou4	fou4	fou4	ㄈㄡˋ	fow	feou4	fou4
fu,fu0,fu5	fu	fu,fu0,fu5	fu,fu0,fu5	fu,fu0,fu5	ㄈㄨ˙,ㄈㄨ	.fu	fou,fou0,fou5	fu
fu1	fū	fu1	fu1	fu1	ㄈㄨˉ	fu	fou1	fu1
fu2	fú	fu2	fu2	fu2	ㄈㄨˊ	fwu	fou2	fu2
fu3	fǔ	fu3	fu3	fu3	ㄈㄨˇ	fuu	fou3	fu3
fu4	fù	fu4	fu4	fu4	ㄈㄨˋ	fuh	fou4	fu4
ga,ga0,ga5	ga	ka,ka0,ka5	ga,ga0,ga5	ga,ga0,ga5	ㄍㄚ˙,ㄍㄚ	.ga	ka,ka0,ka5	ga
ga1	gā	ka1	ga1	ga1	ㄍㄚˉ	ga	ka1	ga1
ga2	gá	ka2	ga2	ga2	ㄍㄚˊ	gar	ka2	ga2
ga3	gǎ	ka3	ga3	ga3	ㄍㄚˇ	gaa	ka3	ga3
ga4	gà	ka4	ga4	ga4	ㄍㄚˋ	gah	ka4	ga4
gai,gai0,gai5	gai	kai,kai0,kai5	gai,gai0,gai5	gai,gai0,gai5	ㄍㄞ˙,ㄍㄞ	.gai	kai,kai0,kai5	gai
gai1	gāi	kai1	gai1	gai1	ㄍㄞˉ	gai	kai1	gai1
gai2	gái	kai2	gai2	gai2	ㄍㄞˊ	gair	kai2	gai2
gai3	gǎi	kai3	gai3	gai3	ㄍㄞˇ	gae	kai3	gai3
gai4	gài	kai4	gai4	gai4	ㄍㄞˋ	gay	kai4	gai4
gan,gan0,gan5	gan	kan,kan0,kan5	gan,gan0,gan5	gan,gan0,gan5	ㄍㄢ˙,ㄍㄢ	.gan	kan,kan0,kan5	gan
gan1	gān	kan1	gan1	gan1	ㄍㄢˉ	gan	kan1	gan1
gan2	gán	kan2	gan2	gan2	ㄍㄢˊ	garn	kan2	gan2
gan3	gǎn	kan3	gan3	gan3	ㄍㄢˇ	gaan	kan3	gan3
gan4	gàn	kan4	gan4	gan4	ㄍㄢˋ	gann	kan4	gan4
gang,gang0,gang5	gang	kang,kang0,kang5	gang,gang0,gang5	gang,gang0,gang5	ㄍㄤ˙,ㄍㄤ	.gang	kang,kang0,kang5	gang
gang1	gāng	kang1	gang1	gang1	ㄍㄤˉ	gang	kang1	gang1
gang2	gáng	kang2	gang2	gang2	ㄍㄤˊ	garng	kang2	gang2
gang3	gǎng	kang3	gang3	gang3	ㄍㄤˇ	gaang	kang3	gang3
gang4	gàng	kang4	gang4	gang4	ㄍㄤˋ	ganq	kang4	gang4
gao,gao0,gao5	gao	kao,kao0,kao5	gau,gau0,gau5	gau,gau0,gau5	ㄍㄠ˙,ㄍㄠ	.gau	kao,kao0,kao5	gao
gao1	gāo	kao1	gau1	gau1	ㄍㄠˉ	gau	kao1	gao1
gao2	gáo	kao2	gau2	gau2	ㄍㄠˊ	gaur	kao2	gao2
gao3	gǎo	kao3	gau3	gau3	ㄍㄠˇ	gao	kao3	gao3
gao4	gào	kao4	gau4	gau4	ㄍㄠˋ	gaw	kao4	gao4
ge,ge0,ge5	ge	ke,ke0,ke5,kê,kê0,kê5,ko,ko0,ko5	ke,ke0,ke5	ge,ge0,ge5	ㄍㄜ˙,ㄍㄜ	.ge	ko,ko0,ko5	ge
ge1	gē	ke1,kê1,ko1	ke1	ge1	ㄍㄜˉ	ge	ko1	ge1
ge2	gé	ke2,kê2,ko2	ke2	ge2	ㄍㄜˊ	ger	ko2	ge2
ge3	gě	ke3,kê3,ko3	ke3	ge3	ㄍㄜˇ	gee	ko3	ge3
ge4	gè	ke4,kê4,ko4	ke4	ge4	ㄍㄜˋ	geh	ko4	ge4
gei,gei0,gei5	gei	kei,kei0,kei5	kei,kei0,kei5	gei,gei0,gei5	ㄍㄟ˙,ㄍㄟ	.gei	kei,kei0,kei5	gei
gei1	gēi	kei1	kei1	gei1	ㄍㄟˉ	gei	kei1	gei1
gei2	géi	kei2	kei2	gei2	ㄍㄟˊ	geir	kei2	gei2
gei3	gěi	kei3	kei3	gei3	ㄍㄟˇ	geei	kei3	gei3
gei4	gèi	kei4	kei4	gei4	ㄍㄟˋ	gey	kei4	gei4
gen,gen0,gen5	gen	ken,ken0,ken5,kên,kên0,kên5	ken,ken0,ken5	gen,gen0,gen5	ㄍㄣ˙,ㄍㄣ	.gen	ken,ken0,ken5	gen
gen1	gēn	ken1,kên1	ken1	gen1	ㄍㄣˉ	gen	ken1	gen1
gen2	gén	ken2,kên2	ken2	gen2	ㄍㄣˊ	gern	ken2	gen2
gen3	gěn	ken3,kên3	ken3	gen3	ㄍㄣˇ	geen	ken3	gen3
gen4	gèn	ken4,kên4	ken4	gen4	ㄍㄣˋ	genn	ken4	gen4
geng,geng0,geng5	geng	keng,keng0,keng5,kêng,kêng0,kêng5	keng,keng0,keng5	geng,geng0,geng5	ㄍㄥ˙,ㄍㄥ	.geng	keng,keng0,keng5	geng
